date,ITUB4.SA,MGLU3.SA,PETR4.SA,VALE3.SA,TITULO_CDI
2013-11-13,7.9613,2.231,4.4364,14.9393,106.80947879136669
2013-11-14,8.1307,2.3445,4.5498,15.0865,106.84709922598657
2013-11-18,8.242,2.4079,4.7701,15.2421,106.88473291127593
2013-11-19,8.0218,2.3287,4.6967,14.9688,106.92237985190194
2013-11-21,7.9395,2.3815,4.65,14.7249,106.99771351784067
2013-11-22,7.821,2.3445,4.5988,14.8552,107.03540025249592
2013-11-25,7.7048,2.2997,4.5298,14.5693,107.07310026117285
2013-11-26,7.7435,2.2574,4.245,14.1026,107.11081354854683
2013-11-27,7.9492,2.1914,4.2206,14.3969,107.14854011929489
2013-11-28,7.8766,2.2838,4.1516,14.8006,107.18818293616823
2013-11-29,7.9758,2.2178,4.2539,15.0823,107.22784042009097
2013-12-02,7.8003,2.1518,3.8624,14.8889,107.26751257648961
2013-12-03,7.626,2.0832,3.8957,14.7501,107.30719941079268
2013-12-04,7.5534,2.0066,3.8713,14.809,107.34690092843068
2013-12-05,7.5292,2.1016,3.9224,14.9814,107.3866171348362
2013-12-06,7.6091,2.1861,3.8334,14.9519,107.42630937626159
2013-12-09,7.6744,2.1069,3.8379,15.0949,107.46636542423873
2013-12-10,7.6333,2.0858,3.849,14.8931,107.5061258301184
2013-12-11,7.4299,2.0832,3.7333,14.5903,107.54590094655305
2013-12-12,7.4929,2.0356,3.7511,14.5273,107.58569077898528
2013-12-13,7.4929,1.9802,3.7889,14.4348,107.6254953328597
2013-12-16,7.5461,1.9538,3.8579,14.46,107.66562565130447
2013-12-17,7.5558,1.9749,3.7378,14.4095,107.70545977948294
2013-12-18,7.6018,1.9511,3.7467,14.4516,107.74530864549217
2013-12-19,7.7713,1.9934,3.8379,14.7627,107.78517225478484
2013-12-20,7.6381,1.9432,3.7622,14.4852,107.82505061281566
2013-12-23,7.6682,1.9353,3.7956,14.5315,107.8649437250414
2013-12-26,7.7218,1.901,3.7645,14.5945,107.94477423391464
2013-12-27,7.6999,1.9538,3.7667,14.9267,107.9847116414857
2013-12-30,7.639,1.9934,3.8001,15.015,108.02466382509883
2014-01-02,7.6841,1.9089,3.7266,14.6366,108.10461254232064
2014-01-03,7.6329,1.9723,3.6532,14.2161,108.14460908686907
2014-01-06,7.6817,2.0752,3.6977,14.3339,108.18462042933905
2014-01-07,7.6231,2.128,3.5954,13.9807,108.22464657520553
2014-01-08,7.7426,2.1703,3.602,14.0774,108.26468752994542
2014-01-09,7.5013,2.1597,3.493,13.577,108.30474329903777
2014-01-10,7.5378,2.1518,3.5531,13.5602,108.34481388796355
2014-01-13,7.5037,2.165,3.5086,13.4719,108.38489930220582
2014-01-14,7.6158,2.1782,3.493,13.4635,108.42499954724967
2014-01-15,7.6183,2.1861,3.5687,13.6443,108.46511462858217
2014-01-16,7.4598,2.2125,3.4686,13.8041,108.50720126236035
2014-01-17,7.3135,2.1571,3.4508,13.6611,108.54957766474136
2014-01-20,7.255,2.1756,3.3773,13.3668,108.5920096946505
2014-01-21,7.3574,2.1518,3.4129,13.0682,108.63445831124014
2014-01-22,7.3745,2.2706,3.5242,13.3752,108.67661065375407
2014-01-23,7.2282,2.2442,3.4419,13.0052,108.71877935221994
2014-01-24,7.1331,2.1808,3.3595,13.1397,108.76096441298418
2014-01-27,7.277,2.165,3.3618,13.0851,108.80316584239569
2014-01-28,7.3282,2.1254,3.3484,13.35,108.84538364680584
2014-01-29,7.1892,2.0436,3.2928,13.9176,108.88761783256848
2014-01-30,7.1965,2.0858,3.2705,13.6653,108.92986840603986
2014-01-31,7.3818,2.099,3.2705,13.8966,108.97213537357877
2014-02-03,7.2928,2.0251,3.0814,13.5097,109.01441874154642
2014-02-04,7.6464,1.9934,3.1348,13.7368,109.05679700668802
2014-02-05,7.6099,2.033,3.077,14.0858,109.09919174595639
2014-02-06,7.7684,2.0832,3.1615,14.4053,109.14160296575572
2014-02-07,7.7635,2.165,3.2149,14.317,109.18403067249263
2014-02-10,7.7513,2.0832,3.2505,14.1446,109.22647487257626
2014-02-11,7.7659,2.1122,3.3284,14.502,109.26893557241823
2014-02-12,7.683,2.0805,3.3284,14.4894,109.31141277843265
2014-02-13,7.6489,2.0145,3.2505,14.4306,109.35390649703616
2014-02-14,7.7074,2.0462,3.2438,14.6492,109.39641673464781
2014-02-17,7.6099,2.0647,3.2105,14.502,109.43894349768924
2014-02-18,7.5879,2.07,3.1393,14.5357,109.48148679258452
2014-02-19,7.7153,1.9696,3.1593,14.6828,109.52404662576028
2014-02-20,7.7054,1.9168,3.1504,14.5147,109.56662300364557
2014-02-21,7.7153,1.9849,3.1482,14.5525,109.60921593267202
2014-02-24,7.7575,1.9636,3.226,14.1573,109.65182541927368
2014-02-25,7.7054,1.8864,3.1548,13.6695,109.69445146988717
2014-02-26,7.6756,1.8757,3.0436,13.6737,109.73733103096674
2014-02-27,7.7972,1.8757,3.1237,13.8797,109.78117328946024
2014-02-28,7.7476,1.8757,3.0236,13.8755,109.82503306381284
2014-03-05,7.6272,1.8144,2.9568,13.392,109.8687533112252
2014-03-06,7.8382,1.8651,2.988,13.35,109.91249096323088
2014-03-07,7.6818,1.8437,2.9635,12.8454,109.95624602675844
2014-03-10,7.5825,1.8011,2.8945,12.6309,110.00001850873925
2014-03-11,7.6644,1.7425,2.9168,12.4249,110.0438084161074
2014-03-12,7.5701,1.6759,2.9635,12.6604,110.08761575579977
2014-03-13,7.4683,1.5853,2.9168,12.3198,110.13144053475601
2014-03-14,7.2698,1.5986,2.8434,12.303,110.1752827599185
2014-03-17,7.4212,1.6013,2.7966,12.324,110.21914243823241
2014-03-18,7.5602,1.6412,2.8856,12.5342,110.26301957664563
2014-03-19,7.5949,1.6066,2.968,12.4501,110.3070718582269
2014-03-20,7.7538,1.6386,3.1126,12.5637,110.3511417395757
2014-03-21,7.7836,1.7052,3.1192,12.7949,110.39522922772349
2014-03-24,8.0094,1.7265,3.2038,12.858,110.43933432970454
2014-03-25,8.0541,1.6972,3.2216,12.9589,110.48345705255593
2014-03-26,8.1236,1.7052,3.2038,12.8118,110.52759740331757
2014-03-27,8.2998,1.7292,3.4641,13.0809,110.57159733456785
2014-03-28,8.2502,1.7398,3.4841,13.0388,110.61561478175076
2014-03-31,8.414,1.7265,3.5108,13.2112,110.65964975183924
2014-04-01,8.4798,1.7558,3.5175,13.186,110.70370225180895
2014-04-02,8.7529,1.8384,3.6844,13.6779,110.74777228863837
2014-04-03,8.6511,1.8491,3.8947,13.8377,110.79285216934846
2014-04-04,8.527,1.8624,3.9048,13.6569,110.83795039982401
2014-04-07,8.7206,1.8997,4.1627,14.0185,110.88306698753425
2014-04-08,8.594,1.8944,4.0439,13.9849,110.92820193995152
2014-04-09,8.4798,1.9024,4.0085,13.8671,110.97335526455116
2014-04-10,8.5717,1.8917,3.9655,13.7914,111.0185269688116
2014-04-11,8.7753,1.8837,4.0945,13.8629,111.06371706021424
2014-04-14,8.6635,1.873,4.0287,13.8293,111.10892554624361
2014-04-15,8.455,1.8304,3.8744,13.3749,111.1541524343872
2014-04-16,8.6089,1.8544,3.9908,13.4354,111.19939773213561
2014-04-17,8.8274,1.889,4.1425,13.6818,111.24466144698246
2014-04-22,8.8895,1.905,4.0363,13.2755,111.28994358642446
2014-04-23,8.8721,1.9124,4.054,13.0939,111.3352441579613
2014-04-24,9.0633,1.9097,4.0793,13.3101,111.3805631690958
2014-04-25,9.1502,1.9151,4.054,13.1069,111.42590062733377
2014-04-28,9.1328,1.9882,4.188,12.7913,111.47125654018413
2014-04-29,9.1378,2.0287,4.2209,12.8735,111.5166309151588
2014-04-30,9.1378,2.0639,4.1906,12.7092,111.5620237597728
2014-05-02,9.303,2.1423,4.451,13.055,111.60743508154421
2014-05-05,9.4024,2.1505,4.4435,13.0161,111.65286488799416
2014-05-06,9.3154,2.1099,4.6129,12.8908,111.6983131866468
2014-05-07,9.38,2.1099,4.6989,12.9556,111.74377998502942
2014-05-08,9.2359,2.3128,4.5219,12.7395,111.78926529067232
2014-05-09,9.154,2.3046,4.4688,12.6314,111.83476911110888
2014-05-12,9.3303,2.3263,4.5598,13.2279,111.88029145387554
2014-05-13,9.2732,2.2587,4.5421,13.2496,111.92583232651185
2014-05-14,9.3129,2.2641,4.6255,13.5694,111.97139173656036
2014-05-15,9.2434,2.2587,4.5598,13.4441,112.01696969156674
2014-05-16,9.3353,2.237,4.5649,13.1415,112.06256619907968
2014-05-19,9.2757,2.2262,4.537,12.7395,112.108181266651
2014-05-20,9.1117,2.2722,4.3752,12.4758,112.1538149018356
2014-05-21,8.918,2.3831,4.4156,12.4887,112.1994671121914
2014-05-22,9.0273,2.3993,4.4637,12.6833,112.2451379052794
2014-05-23,8.8906,2.3398,4.4763,12.6487,112.29082728866375
2014-05-26,8.8633,2.2965,4.5168,12.7957,112.33653526991161
2014-05-27,8.8683,2.2451,4.4232,12.5752,112.38226185659322
2014-05-28,9.0297,2.3128,4.4763,12.5752,112.42800705628193
2014-05-29,8.8931,2.2722,4.3752,12.6833,112.4737708765542
2014-05-30,8.6695,2.2018,4.2209,12.2769,112.51955332498949
2014-06-02,8.7031,2.0639,4.1981,12.5968,112.56535440917041
2014-06-03,8.7553,2.0801,4.274,12.4714,112.61117413668266
2014-06-04,8.6559,2.1423,4.1981,12.5017,112.657012515115
2014-06-05,8.5913,2.1964,4.1273,12.4412,112.70286955205925
2014-06-06,8.1116,2.2749,4.4713,12.6962,112.74874525511042
2014-06-09,8.4173,2.3344,4.5699,12.8086,112.7948019900597
2014-06-10,8.3949,2.3452,4.6382,12.7265,112.84071511420974
2014-06-11,8.5689,2.2992,4.7748,12.8129,112.88664692729698
2014-06-13,8.5217,2.3128,4.8026,12.3634,112.97856665071542
2014-06-16,8.4645,2.3804,4.7394,12.2856,113.02455457627059
2014-06-17,8.3527,2.5156,4.6331,12.2985,113.07056122121087
2014-06-18,8.467,2.4291,4.8051,12.4714,113.11658659315596
2014-06-20,8.3427,2.3723,4.7292,12.4369,113.1626306997287
