decision_date,ticker,status,reason
2012-01-02,SHOW3.SA,blocked,no_fre_share_count
2012-01-02,SLCE3.SA,accepted,
2012-01-02,SLED4.SA,accepted,
2012-01-02,SMTO3.SA,blocked,'DataFrame' object has no attribute 'CNPJ_CIA'
2012-01-02,SNSY5.SA,blocked,no_fre_share_count
2012-01-02,SPRI3.SA,accepted,
2012-01-02,SPRI5.SA,accepted,
2012-01-02,STBP11.SA,blocked,unsupported_share_class:UNT     N2
2012-01-02,SULA11.SA,blocked,unsupported_share_class:UNT     N2
2012-01-02,SULT4.SA,blocked,no_fre_share_count
2012-01-02,SUZB5.SA,blocked,ambiguous_preferred_class_share_count
2012-01-02,TAMM3.SA,blocked,no_fre_share_count
2012-01-02,TAMM4.SA,blocked,no_fre_share_count
2012-01-02,TBLE3.SA,accepted,
2012-01-02,TCNO3.SA,blocked,'DataFrame' object has no attribute 'CNPJ_CIA'
2012-01-02,TCSA3.SA,accepted,
2012-01-02,TECN3.SA,blocked,no_fre_share_count
2012-01-02,TEKA3.SA,accepted,
2012-01-02,TEKA4.SA,accepted,
2012-01-02,TELB3.SA,blocked,ambiguous_ordinary_share_count
2012-01-02,TELB4.SA,blocked,ambiguous_preferred_share_count
2012-01-02,TEMP3.SA,blocked,no_fre_share_count
2012-01-02,TERI3.SA,blocked,'DataFrame' object has no attribute 'CNPJ_CIA'
2012-01-02,TGMA3.SA,accepted,
2012-01-02,TIBR5.SA,accepted,
2012-01-02,TMAR5.SA,blocked,ambiguous_preferred_class_share_count
2012-01-02,TOTS3.SA,blocked,ambiguous_ordinary_share_count
2012-01-02,TOYB3.SA,blocked,no_fre_share_count
2012-01-02,TOYB4.SA,blocked,no_fre_share_count
2012-01-02,TPIS3.SA,accepted,
2012-01-02,TRIS3.SA,accepted,
2012-01-02,TRPN3.SA,blocked,ambiguous_ordinary_share_count
2012-01-02,UGPA3.SA,accepted,
2012-01-02,UNIP3.SA,blocked,no_fre_share_count
2012-01-02,UNIP6.SA,blocked,no_fre_share_count
2012-01-02,UOLL4.SA,accepted,
2012-01-02,USIM3.SA,accepted,
2012-01-02,USIM5.SA,accepted,
2012-01-02,VALE3.SA,accepted,
2012-01-02,VALE5.SA,blocked,ambiguous_preferred_class_share_count
2012-01-02,VIVR3.SA,accepted,
2012-01-02,VIVT3.SA,accepted,
2012-01-02,VLID3.SA,accepted,
2012-01-02,WEGE3.SA,accepted,
2012-01-02,WHRL4.SA,accepted,
2012-01-02,WISA4.SA,blocked,No ITR available by 2012-01-02 for WISA4.SA
