alert_drawdown,severe_drawdown,alert_volatility,severe_volatility,alert_equity_cap,severe_equity_cap,recovery_days,cost_bps,volatility_window,peak_window,train_cagr,train_max_drawdown,train_score,holdout_cumulative_return,holdout_cagr,holdout_annual_volatility,holdout_sharpe_excess_cdi,holdout_max_drawdown,holdout_overlay_turnover
0.08,0.18,0.4,0.6000000000000001,0.65,0.2,5,10.0,20,126,0.18054106769676204,-0.2930986219193982,0.1072664122169125,2.154202544187625,0.17833815271156594,0.1748276521650948,0.5433746781506857,-0.21617740335549473,9.199999999999998
0.08,0.18,0.4,0.6000000000000001,0.65,0.2,10,10.0,20,126,0.1832404194539199,-0.30143537096457274,0.1078815767127767,2.1065643243864303,0.17577917639527652,0.1731874746425026,0.5341356662785667,-0.2161774033554945,7.899999999999998
0.08,0.18,0.4,0.6000000000000001,0.65,0.2,20,10.0,20,126,0.16695545364308773,-0.2994417913104047,0.09209500581548655,2.214622244061907,0.18153648010371137,0.16822593050799986,0.5743895307250402,-0.2161774033554945,6.699999999999998
0.08,0.18,0.4,0.6000000000000001,0.65,0.25,5,10.0,20,126,0.17947391995865836,-0.2920084176477037,0.10647181554673243,2.14216838671919,0.17769485910649663,0.17672035669682493,0.5363197233299102,-0.2335756910943041,8.799999999999997
0.08,0.18,0.4,0.6000000000000001,0.65,0.25,10,10.0,20,126,0.1817772174102532,-0.29943295605494746,0.10691897839651635,2.1040902935376984,0.17564536263932307,0.1751499615425761,0.5294635150947468,-0.23357569109430398,7.599999999999999
0.08,0.18,0.4,0.6000000000000001,0.65,0.25,20,10.0,20,126,0.16661530166439942,-0.2976396789365958,0.09220538193025046,2.198933000704343,0.18071095296729256,0.17032426645573218,0.5652483785647553,-0.2335756910943042,6.399999999999998
0.08,0.18,0.4,0.6000000000000001,0.65,0.35,5,10.0,20,126,0.17727474257698095,-0.28984278563692956,0.10481404616774856,2.113343572206919,0.17614538038495797,0.181668058041834,0.5193109976604378,-0.2679988796612106,7.999999999999998
0.08,0.18,0.4,0.6000000000000001,0.65,0.35,10,10.0,20,126,0.17877982687216742,-0.2954322350252271,0.10492176811586065,2.094151538026708,0.1751068787999983,0.18027671379094146,0.5169585492397614,-0.26799887966121017,6.999999999999998
0.08,0.18,0.4,0.6000000000000001,0.65,0.35,20,10.0,20,126,0.16583294200565368,-0.29405536795147524,0.09231910001778487,2.162481585059855,0.178779493766978,0.17579499576356677,0.5436584268779456,-0.2679988796612106,5.799999999999997
0.1,0.2,0.25,0.45,0.5,0.2,5,10.0,20,126,0.1468730053655234,-0.26906858256323696,0.07960585972471415,1.5302140372325401,0.14181013711203372,0.17274229472504754,0.362599576259029,-0.2422014966886169,15.1
0.1,0.2,0.25,0.45,0.5,0.2,10,10.0,20,126,0.15951871540667084,-0.26609727688797946,0.09299439618467598,1.5932929730721206,0.14583386795413134,0.1678074808477796,0.3896116497903444,-0.2422014966886169,11.499999999999998
0.1,0.2,0.25,0.45,0.5,0.2,20,10.0,20,126,0.11951601476168672,-0.2886069626525374,0.04736427409855237,1.6466205680901145,0.14917065177353872,0.15982453397983123,0.41944632657723185,-0.2422014966886169,9.65000000007836
