decision_date,ticker,ticker_raw,asset_class,issuer_name,specification,isin,observed_at,close_price_brl,average_daily_value_brl,trading_days,trade_count,quantity,source,universe_year
2024-01-02,VRTA11.SA,VRTA11,fii,FII FATOR VE,CI  ER,BRVRTACTF008,2024-01-02,88.16,2061906.1479999998,60,5697,25959,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,BRCR11.SA,BRCR11,fii,FII BC FUND,CI,BRBRCRCTF000,2024-01-02,59.05,2061744.8698333332,60,5980,33711,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,XPCA11.SA,XPCA11,fii,FIAGRO XP CA,CI  ER,BRXPCACTF004,2024-01-02,9.18,1994962.9363333334,60,11992,245182,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,MALL11.SA,MALL11,fii,FII MALLS BP,CI  ER,BRMALLCTF007,2024-01-02,118.38,1958042.9645,60,2781,14343,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,XPCI11.SA,XPCI11,fii,FII XP CRED,CI  ER,BRXPCICTF007,2024-01-02,85.95,1954746.6831666667,60,5054,17279,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,RBRY11.SA,RBRY11,fii,FII RBR PCRI,CI,BRRBRYCTF004,2024-01-02,100.0,1904236.668,60,7338,25927,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,HCTR11.SA,HCTR11,fii,FII HECTARE,CI,BRHCTRCTF003,2024-01-02,38.88,1877366.5775000001,60,4337,47610,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,VGIP11.SA,VGIP11,fii,FII VALORAIP,CI,BRVGIPCTF002,2024-01-02,89.49,1868229.3736666667,60,4500,26841,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,VCJR11.SA,VCJR11,fii,FII VECTIS,CI  ER,BRVCJRCTF005,2024-01-02,92.06,1839100.0631666665,60,1995,17592,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,HGRE11.SA,HGRE11,fii,FII HG REAL,CI  ER,BRHGRECTF006,2024-01-02,131.1,1828971.0005,60,3439,16909,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,DEVA11.SA,DEVA11,fii,FII DEVANT,CI,BRDEVACTF000,2024-01-02,43.65,1786990.1936666667,60,4267,39623,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,SNAG11.SA,SNAG11,fii,FIAGRO SUNO,CI,BRSNAGCTF000,2024-01-02,10.08,1726519.9048333333,60,3439,167475,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,FGAA11.SA,FGAA11,fii,FIAGRO FGA,CI,BRFGAACTF004,2024-01-02,9.52,1718547.8868333334,60,8268,130639,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,ALZR11.SA,ALZR11,fii,FII ALIANZA,CI,BRALZRCTF006,2024-01-02,118.0,1680823.726,60,1944,14409,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,BROF11.SA,BROF11,fii,FII BROF,CI  ER,BRBROFCTF000,2024-01-02,61.1,1575254.7855,60,504,8383,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,CPTR11.SA,CPTR11,fii,FIAGRO CPTR,CI,BRCPTRCTF006,2024-01-02,9.04,1427413.9786666667,60,3973,134177,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,HABT11.SA,HABT11,fii,FII HABIT II,CI  ER,BRHABTCTF001,2024-01-02,88.6,1422689.4711666666,60,2552,17189,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
