date,decision_year,strategy,mvo,cdi,equity_sleeve,IBOVESPA,BOVA11
2018-08-29,2018,208.345646,135.464726,176.444527,215.374392,138.634196,138.40097
2018-08-30,2018,207.688523,133.131362,176.487902,214.648703,135.123641,134.853161
2018-08-31,2018,207.788696,132.531456,176.531288,214.75494,135.608221,135.548101
2018-09-03,2018,204.462214,132.134092,176.574685,211.096825,134.750479,134.377692
2018-09-04,2018,201.900654,130.277509,176.618092,208.279013,132.131269,131.799126
2018-09-05,2018,201.807129,129.479277,176.66151,208.172461,132.803314,132.439191
2018-09-06,2018,200.219456,129.470419,176.704939,206.424511,135.144863,135.511518
2018-09-10,2018,199.598838,128.772792,176.748378,205.738918,135.180234,135.328644
2018-09-11,2018,198.725695,127.290775,176.791829,204.775914,132.033999,131.908847
2018-09-12,2018,199.03665,126.564637,176.835289,205.113699,132.861676,132.713509
2018-09-13,2018,195.156851,123.305572,176.878761,200.84773,132.087055,131.707682
2018-09-14,2018,195.564234,123.906999,176.922243,201.291445,133.399313,133.152408
2018-09-17,2018,198.37361,125.100478,176.965736,204.373867,135.804529,135.456657
2018-09-18,2018,198.425995,126.345915,177.009239,204.427595,138.501555,137.797474
2018-09-19,2018,201.176124,126.573328,177.052753,207.44493,138.245117,137.65117
2018-09-20,2018,199.503558,126.554566,177.096278,205.603713,138.151384,137.760905
2018-09-21,2018,200.159316,126.572042,177.139814,206.320274,140.500007,139.900557
2018-09-24,2018,200.442367,125.854445,177.18336,206.627398,137.917936,137.523157
2018-09-25,2018,200.709399,125.80571,177.226917,206.916923,139.060414,138.766718
2018-09-26,2018,200.748098,125.524505,177.270485,206.955611,139.106396,138.711857
2018-09-27,2018,202.462164,126.598081,177.314063,208.834773,141.483316,140.942953
2018-09-28,2018,201.470921,125.495519,177.357652,207.742018,140.319616,140.101723
2018-10-01,2018,197.989586,120.161716,177.401318,203.913765,139.049803,138.620427
2018-10-02,2018,203.656764,124.206337,177.444994,210.135608,144.334205,144.07014
2018-10-03,2018,208.500561,127.055729,177.488681,215.452927,147.271752,146.83158
2018-10-04,2018,206.418511,125.880524,177.532379,213.161855,146.705819,146.08178
2018-10-05,2018,204.941933,126.892398,177.576087,211.535925,145.589869,145.29541
2018-10-08,2018,213.703272,131.586276,177.619806,221.156855,152.243122,152.957942
2018-10-09,2018,214.641205,132.384369,177.663536,222.183383,152.250196,151.787533
2018-10-10,2018,212.593115,130.864415,177.707277,219.929615,147.98978,147.636241
2018-10-11,2018,211.606447,129.463069,177.751029,218.841871,146.649225,146.575554
2018-10-15,2018,214.284465,129.805726,177.794791,221.779966,147.425615,147.142467
2018-10-16,2018,214.186372,130.078316,177.838564,221.668363,151.595836,151.056024
2018-10-17,2018,216.099965,130.94826,177.882348,223.766697,151.677189,151.275481
2018-10-18,2018,217.201346,130.87701,177.926142,224.972776,148.286895,151.275481
2018-10-19,2018,216.863679,132.253445,177.969948,224.597987,148.946561,148.532333
2018-10-22,2018,220.363071,132.567057,178.013764,228.438397,151.381842,151.092607
2018-10-23,2018,224.356835,135.565234,178.057591,232.821899,150.856586,150.489111
2018-10-24,2018,219.745966,133.90049,178.101429,227.752782,146.902127,146.575554
2018-10-25,2018,220.256556,135.12838,178.145277,228.309842,148.706039,148.184863
2018-10-26,2018,216.896085,132.2957,178.189137,224.614348,151.599373,151.257189
2018-10-29,2018,220.725729,131.492778,178.233007,228.817552,148.198468,147.782532
2018-10-30,2018,228.00313,133.925827,178.276888,236.808288,153.661492,153.177399
2018-10-31,2018,228.291494,133.872353,178.32078,237.121217,154.612968,153.762603
2018-11-01,2018,226.946307,136.196053,178.364682,235.639609,156.372666,155.902255
2018-11-05,2018,232.273086,139.193654,178.408596,241.487486,158.457777,157.456703
2018-11-06,2018,233.742349,139.362003,178.45252,243.09769,156.814802,155.957116
2018-11-07,2018,233.764698,138.866821,178.496455,243.118385,155.125845,154.695263
2018-11-08,2018,231.675409,137.756329,178.540401,240.81934,151.422519,151.056024
2018-11-09,2018,231.166412,137.275584,178.584357,240.256324,151.459658,150.909719
2018-11-12,2018,231.918004,136.699988,178.628325,241.078126,151.254507,150.598833
2018-11-13,2018,232.746259,137.583016,178.672303,241.984145,150.173929,149.300411
2018-11-14,2018,236.869557,139.44242,178.716292,246.509932,152.046814,151.147468
2018-11-16,2018,237.806088,141.651985,178.760292,247.534896,156.542446,155.993699
2018-11-19,2018,237.789687,141.326512,178.804303,247.513016,155.456562,154.164934
2018-11-21,2018,240.853583,140.971985,178.892357,250.871129,154.338844,154.12835
