ticker,isin,issuer_name,asset_class,cnpj_cia,cvm_name,cvm_sector,match_method,confidence,mapping_status,source,universe_year,decision_date
GTDP4B.SA,BRGTDPACNPR1,GTD PART,equity,00.649.881/0001-76,GTD PARTICIPACOES SA,Emp. Adm. Part. - Sem Setor Principal,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
GUAR3.SA,BRGUARACNOR4,GUARARAPES,equity,,,,no_deterministic_cnpj_match,0.0,review_required,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
GUAR4.SA,BRGUARACNPR1,GUARARAPES,equity,,,,no_deterministic_cnpj_match,0.0,review_required,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
HAGA4.SA,BRHAGAACNPR4,HAGA S/A,equity,30.540.991/0001-66,HAGA S.A. INDÚSTRIA E COMÉRCIO,Metalurgia e Siderurgia,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
HBOR3.SA,BRHBORACNOR3,HELBOR,equity,49.263.189/0001-02,HELBOR EMPREENDIMENTOS S/A,"Construção Civil, Mat. Constr. e Decoração",official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
HBTS5.SA,BRHBTSACNPA3,HABITASUL,equity,87.762.563/0001-03,COMPANHIIA HABITASUL DE PARTICIPAÇÕES,Emp. Adm. Part. - Crédito Imobiliário,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
HETA4.SA,BRHETAACNPR9,HERCULES,equity,92.749.225/0001-63,HERCULES S/A - FABRICA DE TALHERES,Metalurgia e Siderurgia,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
HGTX3.SA,BRHGTXACNOR9,CIA HERING,equity,78.876.950/0001-71,CIA HERING,Têxtil e Vestuário,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
HOOT4.SA,BRHOOTACNPR9,HOTEIS OTHON,equity,33.200.049/0001-47,HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL,Hospedagem e Turismo,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
HRTP3.SA,BRHRTPACNOR2,HRT PETROLEO,equity,,,,no_deterministic_cnpj_match,0.0,review_required,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
HYPE3.SA,BRHYPEACNOR0,HYPERMARCAS,equity,02.932.074/0001-91,HYPERA S/A,Farmacêutico e Higiene,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
IDNT3.SA,BRIDNTACNOR5,IDEIASNET,equity,,,,no_deterministic_cnpj_match,0.0,review_required,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
IDVL4.SA,BRIDVLACNPR2,INDUSVAL,equity,,,,no_deterministic_cnpj_match,0.0,review_required,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
IENG3.SA,BRIENGACNOR0,IENERGIA,equity,02.225.714/0001-23,INEPAR ENERGIA SA,Energia Elétrica,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
