ticker,coverage_start,coverage_end,status,source_url,extracted_at,note
LOGG3,2018-12-21,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkxPR0ciLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
LOGN3,2011-01-03,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkxPR04iLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
LPSB3,2011-01-03,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkxQU0IiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
LREN3,2011-01-03,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkxSRU4iLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
LUPA3,2011-01-03,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkxVUEEiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
LUXM3,2011-12-29,2015-05-25,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkxVWE0iLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
LUXM4,2011-01-05,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkxVWE0iLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
LWSA3,2020-02-06,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkxXU0EiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
MAGG3,2011-01-03,2019-01-22,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6Ik1BR0ciLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
MATD3,2021-04-16,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6Ik1BVEQiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
MDIA3,2011-01-03,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6Ik1ESUEiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
MDNE3,2020-02-13,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6Ik1ETkUiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
MEAL3,2015-03-31,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6Ik1FQUwiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
MELK3,2020-09-28,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6Ik1FTEsiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
MERC4,2011-01-17,2025-12-16,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6Ik1FUkMiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
MGEL4,2011-01-03,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6Ik1HRUwiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
MGLU3,2011-05-02,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6Ik1HTFUiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
MILS3,2011-01-03,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6Ik1JTFMiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
MLAS3,2021-07-22,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6Ik1MQVMiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
