ticker,as_of_date,available_date,sector,is_financial,market_cap_brl,price_to_earnings,price_to_book,ev_to_ebit,free_cash_flow_yield,roe,roic,debt_to_ebitda,interest_coverage,operating_margin,revenue_growth_3y,average_daily_value_brl,source,decision_date,mapping_method,snapshot_vintage
EMBR3.SA,2018-09-30,2018-10-30,"Máquinas, Equipamentos, Veículos e Peças",False,15949617047.76,,1.0034663547117904,72.38680611004312,0.25124465295941306,-0.030109306219419887,0.013844638964317507,,,0.01960563264689868,,71719052.26666667,"CVM ITR 2018, ref 2018-09-30, receipt 2018-10-30; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 74577, received 2018-05-15",2019-01-02,official_b3_issuer_unique_prefix,B3/CVM point-in-time full-universe gate
IRBR3.SA,2018-09-30,2018-10-31,Seguradoras e Corretoras,True,25989600000.0,23.734794520547947,6.908148125308665,,,0.2910557375724516,,,,,,71410225.11666666,"CVM ITR 2018, ref 2018-09-30, receipt 2018-10-31; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 73863, received 2018-05-07",2019-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
CVCB3.SA,2018-09-30,2018-11-09,Hospedagem e Turismo,False,8944048469.2,33.45170200768966,8.419045227837294,18.43947889371513,-0.04487229707912102,0.25167763439665874,0.2562584633708853,,,0.3726191343456322,,70246886.86666666,"CVM ITR 2018, ref 2018-09-30, receipt 2018-11-09; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 73650, received 2018-05-02",2019-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
MULT3.SA,2018-09-30,2018-10-29,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",False,4694810327.76,9.524448752054077,0.8846978823603902,9.977140944010813,0.11163688486006773,0.09288704316557879,0.09269570929949457,,,0.6261554597443634,,63294939.31666667,"CVM ITR 2018, ref 2018-09-30, receipt 2018-10-29; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 73606, received 2018-04-30",2019-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
WEGE3.SA,2018-09-30,2018-10-24,"Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças",False,37733888802.020004,28.94366791313346,4.855032302261456,28.902769280291544,-0.012561732041109563,0.16774074097424396,0.1312595610393161,,,0.12220444510807194,,62631319.06666667,"CVM ITR 2018, ref 2018-09-30, receipt 2018-10-24; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 73747, received 2018-05-04",2019-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
MRVE3.SA,2018-09-30,2018-11-07,"Construção Civil, Mat. Constr. e Decoração",False,5613925605.76,7.508851983451951,0.9355077047529221,10.959819165124825,0.14681081615231412,0.12458731465403754,0.08704526704754198,,,0.13895574053919493,,59549150.96666667,"CVM ITR 2018, ref 2018-09-30, receipt 2018-11-07; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 75066, received 2018-05-25",2019-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
CRFB3.SA,2018-09-30,2018-11-07,Emp. Adm. Part. - Comércio (Atacado e Varejo),False,37553386326.95,20.890846866349577,2.7254072376043252,13.145553135544523,0.019438992628904927,0.13045939473111257,0.19754836109618484,,,0.055696322387607466,,58924917.41666666,"CVM ITR 2018, ref 2018-09-30, receipt 2018-11-07; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 75041, received 2018-05-24",2019-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
CSAN3.SA,2018-09-30,2018-11-07,"Agricultura (Açúcar, Álcool e Cana)",False,14562185402.1,12.728582219108539,1.4859538133740466,8.211467552184262,0.1849330252045576,0.11674150253303837,0.15636753811418747,,,0.2724659925004507,,58041760.2,"CVM ITR 2018, ref 2018-09-30, receipt 2018-11-07; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 74873, received 2018-05-16",2019-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
HYPE3.SA,2018-09-30,2018-10-26,Farmacêutico e Higiene,False,19694215569.0,15.566507137403313,2.409825918963975,14.699760514950558,0.048335613909822536,0.15480839071300895,0.17743055036983366,,,0.32368673742234655,,57661704.95,"CVM ITR 2018, ref 2018-09-30, receipt 2018-10-26; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 73971, received 2018-05-08",2019-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
ENBR3.SA,2018-09-30,2018-11-01,Energia Elétrica,False,8605138586.92,8.414384490519913,0.8974933676694199,7.329016840194819,0.019321594686775464,0.10666179667456163,0.12725870326373845,,,0.12974452786670984,,57587035.81666667,"CVM ITR 2018, ref 2018-09-30, receipt 2018-11-01; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 74622, received 2018-05-15",2019-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
