name,train_signal,train_equity_cap,train_alpha_strength,train_split,train_years,train_cagr,train_cdi_cagr,train_neutral_mvo_cagr,train_excess_cdi,train_excess_mvo,train_hit_both,train_worst_year,train_max_drawdown,train_average_turnover,holdout_signal,holdout_equity_cap,holdout_alpha_strength,holdout_split,holdout_years,holdout_cagr,holdout_cdi_cagr,holdout_neutral_mvo_cagr,holdout_excess_cdi,holdout_excess_mvo,holdout_hit_both,holdout_worst_year,holdout_max_drawdown,holdout_average_turnover,train_score
momentum_12_1_eq100_tilt00,momentum_12_1,1.0,0.0,train,6,0.3296616018916254,0.0860290624962976,0.4383343057798117,0.2436325393953278,-0.10867270388818628,0.3333333333333333,-0.34361202890216264,0.0,1.0058919378987883,momentum_12_1,1.0,0.0,holdout,5,0.13906066993837252,0.1087137638826996,0.1557701011392323,0.030346906055672918,-0.01670943120085977,0.0,0.007966815157612751,0.0,1.0073048344077853,0.10478307737017788
trend_consistency_eq55_tilt00,trend_consistency,0.55,0.0,train,6,0.2808458515113814,0.0860290624962976,0.354193621750285,0.1948167890150838,-0.0733477702389036,0.0,0.09274352056722784,0.0,0.6767190367284258,trend_consistency,0.55,0.0,holdout,5,0.10066404420886643,0.1087137638826996,0.1648558386754071,-0.008049719673833167,-0.06419179446654066,0.0,0.02177160439421275,0.0,0.5898960021657832,0.10116744767432745
trend_consistency_eq55_tilt50,trend_consistency,0.55,0.5,train,6,0.2808458514203125,0.0860290624962976,0.354193621750285,0.19481678892401488,-0.07334777032997253,0.0,0.09274352087671406,0.0,0.6767190365779155,trend_consistency,0.55,0.5,holdout,5,0.09360993210821711,0.1087137638826996,0.1648558386754071,-0.01510383177448249,-0.07124590656718999,0.0,0.008943090378693862,0.0,0.5873009989497717,0.1011674474967049
trend_consistency_eq55_tilt25,trend_consistency,0.55,0.25,train,6,0.28084585134883056,0.0860290624962976,0.354193621750285,0.19481678885253295,-0.07334777040145446,0.0,0.09274352073519593,0.0,0.6767190366503865,trend_consistency,0.55,0.25,holdout,5,0.10113032918356701,0.1087137638826996,0.1648558386754071,-0.007583434699132585,-0.06372550949184008,0.0,0.015376525933067238,0.0,0.5900137503156448,0.1011674473515669
momentum_risk_adjusted_eq75_tilt00,momentum_risk_adjusted,0.75,0.0,train,6,0.29643610024922395,0.0860290624962976,0.3924658150085074,0.21040703775292635,-0.09602971475928346,0.16666666666666666,-0.08016188541378039,0.0,0.857261812364905,momentum_risk_adjusted,0.75,0.0,holdout,5,0.19237996471236873,0.1087137638826996,0.15361914418313716,0.08366620082966914,0.03876082052923158,0.6,0.09770284489056957,0.0,0.7973735354263709,0.08865946862269575
momentum_risk_adjusted_eq55_tilt00,momentum_risk_adjusted,0.55,0.0,train,6,0.2719384851464177,0.0860290624962976,0.354193621750285,0.18590942265012012,-0.0822551366038673,0.3333333333333333,-0.024547930853824618,0.0,0.7563702616626294,momentum_risk_adjusted,0.55,0.0,holdout,5,0.18526502707749648,0.1087137638826996,0.1648558386754071,0.07655126319479688,0.020409188402089384,0.6,0.09508172770855747,0.0,0.6021803286186234,0.08096317819637394
momentum_risk_adjusted_eq75_tilt25,momentum_risk_adjusted,0.75,0.25,train,6,0.29212938731925053,0.0860290624962976,0.3924658150085074,0.20610032482295293,-0.10033642768925688,0.16666666666666666,-0.09644270172388908,0.0,0.8604287545252749,momentum_risk_adjusted,0.75,0.25,holdout,5,0.19140264312774224,0.1087137638826996,0.15361914418313716,0.08268887924504265,0.03778349894460509,0.6,0.09667348570387264,0.0,0.7974404327360658,0.0799510344979378
momentum_risk_adjusted_eq55_tilt25,momentum_risk_adjusted,0.55,0.25,train,6,0.271028581095377,0.0860290624962976,0.354193621750285,0.18499951859907937,-0.08316504065490804,0.3333333333333333,-0.024840817178862606,0.0,0.7566496920270799,momentum_risk_adjusted,0.55,0.25,holdout,5,0.18564190568058536,0.1087137638826996,0.1648558386754071,0.07692814179788576,0.020786067005178266,0.6,0.09386691563363496,0.0,0.6038864608140434,0.07913498718335893
momentum_risk_adjusted_eq55_tilt50,momentum_risk_adjusted,0.55,0.5,train,6,0.26973363510227677,0.0860290624962976,0.354193621750285,0.18370457260597917,-0.08445998664800825,0.3333333333333333,-0.024843067781894324,0.0,0.7568777604325092,momentum_risk_adjusted,0.55,0.5,holdout,5,0.1856884484660215,0.1087137638826996,0.1648558386754071,0.0769746845833219,0.02083260979061441,0.6,0.09264783122502858,0.0,0.6056003643975874,0.07653825314499564
momentum_risk_adjusted_eq75_tilt50,momentum_risk_adjusted,0.75,0.5,train,6,0.2885643574123873,0.0860290624962976,0.3924658150085074,0.20253529491608968,-0.10390145759612013,0.16666666666666666,-0.10216627345599666,0.0,0.8674833497721277,momentum_risk_adjusted,0.75,0.5,holdout,5,0.19114099940653162,0.1087137638826996,0.15361914418313716,0.08242723552383202,0.03752185522339446,0.6,0.09667293049450745,0.0,0.7952932184260799,0.07260933682680572
combined_eq100_tilt00,combined,1.0,0.0,train,6,0.29284182759411803,0.0860290624962976,0.4383343057798117,0.20681276509782043,-0.14549247818569366,0.16666666666666666,-0.3436120289021633,0.0,1.0265262566411761,combined,1.0,0.0,holdout,5,0.15130879384462648,0.1087137638826996,0.1557701011392323,0.04259502996192688,-0.00446130729460581,0.2,0.05793877901745866,0.0,1.0206382529664246,0.030524499212891482
combined_eq100_tilt25,combined,1.0,0.25,train,6,0.2926843886110482,0.0860290624962976,0.4383343057798117,0.20665532611475057,-0.14564991716876352,0.16666666666666666,-0.34361202806076224,0.0,1.0296757637742713,combined,1.0,0.25,holdout,5,0.14967939464823243,0.1087137638826996,0.1557701011392323,0.040965630765532834,-0.006090706490999853,0.2,0.05793877902064758,0.0,1.0258745608346127,0.03011513603275891
combined_eq100_tilt50,combined,1.0,0.5,train,6,0.2925002257008811,0.0860290624962976,0.4383343057798117,0.20647116320458347,-0.14583408007893062,0.16666666666666666,-0.3436120269378747,0.0,1.0328148469365905,combined,1.0,0.5,holdout,5,0.1480416544607568,0.1087137638826996,0.1557701011392323,0.03932789057805719,-0.007728446678475498,0.2,0.05793877902396537,0.0,1.0311108818346117,0.029652637717555143
