name,train_gamma,train_shrinkage,train_momentum_prior,train_split,train_years,train_cagr,train_cdi_cagr,train_excess_cdi,train_baseline_mvo_cagr,train_excess_baseline_mvo,train_cdi_hit_rate,train_baseline_mvo_hit_rate,train_worst_year,train_drawdown,train_turnover,holdout_gamma,holdout_shrinkage,holdout_momentum_prior,holdout_split,holdout_years,holdout_cagr,holdout_cdi_cagr,holdout_excess_cdi,holdout_baseline_mvo_cagr,holdout_excess_baseline_mvo,holdout_cdi_hit_rate,holdout_baseline_mvo_hit_rate,holdout_worst_year,holdout_drawdown,holdout_turnover,train_score
mvo_g5.0_s0.5_p0.25,5.0,0.5,0.25,train,6,0.5548338090755551,0.08602906249629738,0.46880474657925775,0.48307476791098125,0.07175904116457388,1.0,0.5,0.14758169286199002,0.0,1.56568359730895,5.0,0.5,0.25,holdout,5,-0.04268722191126384,0.10871376388269938,-0.15140098579396322,0.08145277889612257,-0.12414000080738641,0.4,0.4,-0.5519292522846287,-0.5519292522846287,1.941913198127833,0.4622796078783841
mvo_g5.0_s0.25_p0.25,5.0,0.25,0.25,train,6,0.5538054990168908,0.08602906249629738,0.4677764365205934,0.48307476791098125,0.07073073110590955,1.0,0.5,0.14369991837553786,0.0,1.5607907724328112,5.0,0.25,0.25,holdout,5,-0.042037482226681244,0.10871376388269938,-0.15075124610938062,0.08145277889612257,-0.12349026112280381,0.6,0.4,-0.5589776423878559,-0.5589776423878559,1.9467378647652314,0.4604676290048624
mvo_g5.0_s0.75_p0.25,5.0,0.75,0.25,train,6,0.5539267929515053,0.08602906249629738,0.4678977304552079,0.48307476791098125,0.07085202504052401,1.0,0.6666666666666666,0.14341618803131503,0.0,1.5706046638658158,5.0,0.75,0.25,holdout,5,-0.0456507509902897,0.10871376388269938,-0.15436451487298908,0.08145277889612257,-0.12710352988641227,0.4,0.4,-0.5448227524436524,-0.5448227524436524,1.9407033902958297,0.4602195223024411
mvo_g5.0_s0.0_p0.25,5.0,0.0,0.25,train,6,0.5469147205063616,0.08602906249629738,0.4608856580100642,0.48307476791098125,0.06383995259538033,1.0,0.6666666666666666,0.12731106815694743,0.0,1.5580390421577486,5.0,0.0,0.25,holdout,5,-0.03970061538152991,0.10871376388269938,-0.1484143792642293,0.08145277889612257,-0.12115339427765248,0.6,0.4,-0.5622679114650982,-0.5622679114650982,1.9485177048834619,0.4468236584975571
mvo_g10.0_s0.75_p0.0,10.0,0.75,0.0,train,6,0.49052015015307315,0.08602906249629738,0.40449108765677577,0.48307476791098125,0.0074453822420919025,1.0,0.6666666666666666,0.16065174669009058,0.0,1.5560305420170373,10.0,0.75,0.0,holdout,5,0.06712550302470355,0.10871376388269938,-0.04158826085799583,0.08145277889612257,-0.01432727587141902,0.4,0.6,-0.27276397012353953,-0.2727639701235396,1.9193164425244376,0.3341349427980158
mvo_g10.0_s0.5_p0.0,10.0,0.5,0.0,train,6,0.48750537427349694,0.08602906249629738,0.40147631177719956,0.48307476791098125,0.004430606362515688,1.0,0.6666666666666666,0.1831160278032225,0.0,1.5587711356791223,10.0,0.5,0.0,holdout,5,0.07817516006574765,0.10871376388269938,-0.030538603816951726,0.08145277889612257,-0.0032776188303749176,0.4,0.4,-0.28612435597098956,-0.2861243559709896,1.9158964019600373,0.32796836135575913
mvo_g10.0_s0.25_p0.0,10.0,0.25,0.0,train,6,0.4866864471201169,0.08602906249629738,0.4006573846238195,0.48307476791098125,0.003611679209135632,1.0,0.6666666666666666,0.21106841430597983,0.0,1.5705085649255996,10.0,0.25,0.0,holdout,5,0.08314318308758462,0.10871376388269938,-0.02557058079511476,0.08145277889612257,0.0016904041914620471,0.6,0.8,-0.29620045331384254,-0.2962004533138425,1.9162476334634568,0.32574363558667513
mvo_g10.0_s0.75_p0.1,10.0,0.75,0.1,train,6,0.48484882508586136,0.08602906249629738,0.398819762589564,0.48307476791098125,0.001774057174880106,1.0,0.6666666666666666,0.1348506735493294,0.0,1.5616005643091153,10.0,0.75,0.1,holdout,5,0.06705794960566824,0.10871376388269938,-0.041655814277031133,0.08145277889612257,-0.014394829290454325,0.4,0.6,-0.2736024661683343,-0.2736024661683343,1.921386566715892,0.3225137915489883
mvo_g10.0_s0.0_p0.0,10.0,0.0,0.0,train,6,0.48307476791098125,0.08602906249629738,0.39704570541468387,0.48307476791098125,0.0,1.0,0.16666666666666666,0.2061423908230255,0.0,1.599740182063189,10.0,0.0,0.0,holdout,5,0.08145277889612257,0.10871376388269938,-0.02726098498657681,0.08145277889612257,0.0,0.6,0.6,-0.3087918114055668,-0.3087918114055668,1.9030639234423976,0.3170586963115244
mvo_g10.0_s0.5_p0.1,10.0,0.5,0.1,train,6,0.4814266730291452,0.08602906249629738,0.39539761053284783,0.48307476791098125,-0.0016480948818360375,1.0,0.6666666666666666,0.1561570280965075,0.0,1.5626167929328005,10.0,0.5,0.1,holdout,5,0.07798481258360379,0.10871376388269938,-0.030728951299095586,0.08145277889612257,-0.0034679663125187776,0.4,0.6,-0.28694449396708693,-0.2869444939670869,1.9170254001942575,0.31561867600437177
