date,decision_year,strategy,mvo,cdi,equity_sleeve,IBOVESPA,BOVA11
2015-05-22,2015,102.459993,124.182788,104.504154,101.862465,112.089792,111.997465
2015-05-25,2015,103.212952,126.22555,104.555327,102.849351,112.568024,112.145582
2015-05-26,2015,101.894071,123.89171,104.606525,101.073778,110.549967,110.53746
2015-05-27,2015,103.039394,123.447338,104.657747,102.583801,111.799142,111.405001
2015-05-28,2015,102.231834,122.73739,104.708995,101.489972,111.263193,110.854848
2015-05-29,2015,100.324561,120.663595,104.760268,98.92985,108.756596,108.654254
2015-06-01,2015,101.206562,121.910962,104.811566,100.088752,109.315221,108.88701
2015-06-02,2015,102.393884,122.547133,104.862889,101.65474,111.799142,111.341517
2015-06-03,2015,101.111559,122.899722,104.914237,99.927857,110.329403,110.114267
2015-06-05,2015,99.920476,123.642671,104.967484,98.321998,109.195663,108.696574
2015-06-08,2015,99.537326,123.457144,105.020758,97.793374,108.859664,108.442661
2015-06-09,2015,99.165987,123.030119,105.074059,97.280487,108.872032,108.654254
2015-06-10,2015,100.696349,122.548455,105.127388,99.303195,111.057058,110.770208
2015-06-11,2015,99.393857,122.756884,105.180743,97.548753,110.671586,110.198907
2015-06-12,2015,98.776041,123.709107,105.234125,96.707204,109.968668,109.458319
2015-06-15,2015,98.642744,124.775885,105.287535,96.511671,109.535785,109.246726
2015-06-16,2015,99.29158,125.348275,105.340971,97.358974,110.698384,110.4105
2015-06-17,2015,98.927392,125.286066,105.394435,96.855569,109.764594,109.267882
2015-06-18,2015,100.770137,126.062387,105.447926,99.294732,111.805327,111.320361
2015-06-19,2015,99.639226,125.752277,105.501444,97.769011,110.795267,110.49514
2015-06-22,2015,100.486891,128.20986,105.554989,98.881383,111.032322,110.664412
2015-06-23,2015,100.128154,128.775098,105.608561,98.38521,110.842678,110.579772
2015-06-24,2015,98.700437,128.239471,105.662161,96.46372,110.989034,110.558616
2015-06-25,2015,97.399618,128.420512,105.715788,94.71142,109.614116,109.310202
